iter	Passed	Remaining
0	28	8431
1	52	7856
2	85	8420
3	115	8553
4	139	8240
5	170	8376
6	200	8409
7	224	8204
8	251	8145
9	285	8269
10	314	8249
11	339	8142
12	370	8175
13	397	8112
14	424	8063
15	449	7984
16	475	7910
17	500	7848
18	527	7795
19	558	7814
20	591	7859
21	629	7951
22	661	7964
23	689	7925
24	714	7864
25	743	7839
26	775	7839
27	807	7841
28	835	7811
29	866	7795
30	896	7780
31	925	7750
32	971	7858
33	1006	7871
34	1032	7817
35	1063	7796
36	1089	7743
37	1117	7707
38	1145	7669
39	1179	7669
40	1212	7657
41	1246	7655
42	1273	7612
43	1301	7573
44	1331	7542
45	1356	7490
46	1384	7453
47	1414	7424
48	1449	7424
49	1484	7424
50	1509	7369
51	1534	7320
52	1565	7297
53	1599	7288
54	1630	7262
55	1661	7240
56	1695	7229
57	1732	7229
58	1765	7213
59	1797	7191
60	1829	7169
61	1859	7136
62	1883	7087
63	1910	7046
64	1938	7009
65	1969	6983
66	2004	6970
67	2036	6946
68	2065	6916
69	2097	6891
70	2123	6849
71	2148	6802
72	2177	6770
73	2201	6724
74	2231	6694
75	2258	6656
76	2284	6615
77	2319	6601
78	2348	6570
79	2378	6540
80	2402	6496
81	2432	6467
82	2465	6445
83	2491	6405
84	2517	6367
85	2552	6350
86	2576	6307
87	2604	6273
88	2637	6252
89	2665	6219
90	2697	6194
91	2726	6165
92	2757	6137
93	2784	6102
94	2808	6060
95	2837	6029
96	2864	5993
97	2896	5970
98	2928	5945
99	2957	5914
100	2985	5882
101	3014	5850
102	3043	5820
103	3073	5792
104	3097	5753
105	3127	5724
106	3153	5688
107	3184	5660
108	3214	5633
109	3248	5611
110	3283	5589
111	3306	5549
112	3334	5518
113	3366	5493
114	3395	5461
115	3420	5425
116	3450	5397
117	3477	5363
118	3506	5333
119	3535	5303
120	3566	5276
121	3601	5254
122	3631	5226
123	3663	5199
124	3692	5169
125	3722	5140
126	3745	5102
127	3771	5068
128	3799	5036
129	3832	5012
130	3861	4981
131	3885	4945
132	3914	4915
133	3948	4891
134	3979	4864
135	4011	4837
136	4041	4808
137	4070	4778
138	4099	4748
139	4125	4715
140	4154	4684
141	4184	4655
142	4211	4624
143	4244	4598
144	4274	4569
145	4304	4540
146	4334	4511
147	4363	4481
148	4392	4451
149	4424	4424
150	4449	4390
151	4479	4361
